id,Ground,location,Also knows as,Established,Named After,Capacity,End Names,Flood Lights,Home Teams,Other Sports,Pitch,Curator,Current Local Time,Playing area
ODI # 1989,https://www.espncricinfo.com/cricket-grounds/buffalo-park-east-london-59098, East London,,,,15000,"Buffalo Park Drive End, Bunkers Hill End",,Border,,,,"12:47, Sat Nov 23, 2024",
ODI # 1988,https://www.espncricinfo.com/cricket-grounds/supersport-park-centurion-59079, Centurion,SuperSport Centurion; Centurion Park,,,"20,000","Pavilion End, Hennops River End",,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1987,https://www.espncricinfo.com/cricket-grounds/mangaung-oval-bloemfontein-59042, Bloemfontein,"Chevrolet Park, OUTsurance Oval, Goodyear Park, Springbok Park",,Sponsor,20000,"Loch Logan End, Willows End",,"Orange Free State, Free State",,,,"12:47, Sat Nov 23, 2024",
ODI # 1986,https://www.espncricinfo.com/cricket-grounds/st-george-s-park-gqeberha-59159, Gqeberha,"Sahara Oval; Crusaders Ground, St George's Park",,,19000,"Duckpond End, Park Drive End",,Eastern Province,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1985,https://www.espncricinfo.com/cricket-grounds/the-wanderers-stadium-johannesburg-59120, Johannesburg,Kent Park,,,"28,000","Corlett Drive End, Golf Course End",,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1984,https://www.espncricinfo.com/cricket-grounds/mangaung-oval-bloemfontein-59042, Bloemfontein,"Chevrolet Park, OUTsurance Oval, Goodyear Park, Springbok Park",,Sponsor,20000,"Loch Logan End, Willows End",,"Orange Free State, Free State",,,,"12:47, Sat Nov 23, 2024",
ODI # 1983,https://www.espncricinfo.com/cricket-grounds/newlands-cape-town-59068, Cape Town,Sahara Park; Newlands; Western Province Cricket Club; Newlands 'A',,,"25,000","Wynberg End, Kelvin Grove End",,Western Province,,,,"12:47, Sat Nov 23, 2024",
ODI # 1982,https://www.espncricinfo.com/cricket-grounds/supersport-park-centurion-59079, Centurion,SuperSport Centurion; Centurion Park,,,"20,000","Pavilion End, Hennops River End",,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1981,https://www.espncricinfo.com/cricket-grounds/diamond-oval-kimberley-59135, Kimberley,De Beers Country Club; Kimberley Country Club;De Beers Diamond Oval,,,,"North End, South End",,Griqualand West,,,,"12:47, Sat Nov 23, 2024",
ODI # 1980,https://www.espncricinfo.com/cricket-grounds/queens-sports-club-bulawayo-59537, Bulawayo,Queens Club,1890s,Queen Victoria,"9,000","City End, Airport End",No,Zimbabwe,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1979,https://www.espncricinfo.com/cricket-grounds/kingsmead-durban-59089, Durban,Sahara Stadium; Kingsmead,,,25000,"Umgeni End, Old Fort End",,,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1977,https://www.espncricinfo.com/cricket-grounds/willowmoore-park-benoni-59039, Benoni,,,,"20,000","Chalet End, Ekurhuleni End",,South Africa,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1978,https://www.espncricinfo.com/cricket-grounds/mangaung-oval-bloemfontein-59042, Bloemfontein,"Chevrolet Park, OUTsurance Oval, Goodyear Park, Springbok Park",,Sponsor,20000,"Loch Logan End, Willows End",,"Orange Free State, Free State",,,,"12:47, Sat Nov 23, 2024",
ODI # 1976,https://www.espncricinfo.com/cricket-grounds/st-george-s-park-gqeberha-59159, Gqeberha,"Sahara Oval; Crusaders Ground, St George's Park",,,19000,"Duckpond End, Park Drive End",,Eastern Province,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1974,https://www.espncricinfo.com/cricket-grounds/the-wanderers-stadium-johannesburg-59120, Johannesburg,Kent Park,,,"28,000","Corlett Drive End, Golf Course End",,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1975,https://www.espncricinfo.com/cricket-grounds/supersport-park-centurion-59079, Centurion,SuperSport Centurion; Centurion Park,,,"20,000","Pavilion End, Hennops River End",,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1973,https://www.espncricinfo.com/cricket-grounds/newlands-cape-town-59068, Cape Town,Sahara Park; Newlands; Western Province Cricket Club; Newlands 'A',,,"25,000","Wynberg End, Kelvin Grove End",,Western Province,,,,"12:47, Sat Nov 23, 2024",
ODI # 1972,https://www.espncricinfo.com/cricket-grounds/queens-sports-club-bulawayo-59537, Bulawayo,Queens Club,1890s,Queen Victoria,"9,000","City End, Airport End",No,Zimbabwe,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1970,https://www.espncricinfo.com/cricket-grounds/senwes-park-potchefstroom-59172, Potchefstroom,"North West Cricket Stadium
Sedgars Park, Potchefstroom",,,,"Senwes End, University End",Yes,"South Africa, North West",,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1971,https://www.espncricinfo.com/cricket-grounds/buffalo-park-east-london-59098, East London,,,,15000,"Buffalo Park Drive End, Bunkers Hill End",,Border,,,,"12:47, Sat Nov 23, 2024",
ODI # 1969,https://www.espncricinfo.com/cricket-grounds/kingsmead-durban-59089, Durban,Sahara Stadium; Kingsmead,,,25000,"Umgeni End, Old Fort End",,,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1968,https://www.espncricinfo.com/cricket-grounds/diamond-oval-kimberley-59135, Kimberley,De Beers Country Club; Kimberley Country Club;De Beers Diamond Oval,,,,"North End, South End",,Griqualand West,,,,"12:47, Sat Nov 23, 2024",
ODI # 1967,https://www.espncricinfo.com/cricket-grounds/boland-park-paarl-59147, Paarl,Boland Bank Park,,,,"Nederburg End, Swart Land End",Yes,,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1966,https://www.espncricinfo.com/cricket-grounds/queens-sports-club-bulawayo-59537, Bulawayo,Queens Club,1890s,Queen Victoria,"9,000","City End, Airport End",No,Zimbabwe,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1965,https://www.espncricinfo.com/cricket-grounds/gymkhana-club-ground-nairobi-58661, Nairobi,,,,"7,000","City End, Forest Road End",No,"East Africa, Kenya",,Grass,,"13:47, Sat Nov 23, 2024",
ODI # 1963,https://www.espncricinfo.com/cricket-grounds/supersport-park-centurion-59079, Centurion,SuperSport Centurion; Centurion Park,,,"20,000","Pavilion End, Hennops River End",,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1964,https://www.espncricinfo.com/cricket-grounds/city-oval-pietermaritzburg-59151, Pietermaritzburg,Alexandra Park,,,,"Duzi End, Hulett End",Yes,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1962,https://www.espncricinfo.com/cricket-grounds/newlands-cape-town-59068, Cape Town,Sahara Park; Newlands; Western Province Cricket Club; Newlands 'A',,,"25,000","Wynberg End, Kelvin Grove End",,Western Province,,,,"12:47, Sat Nov 23, 2024",
ODI # 1961,https://www.espncricinfo.com/cricket-grounds/mangaung-oval-bloemfontein-59042, Bloemfontein,"Chevrolet Park, OUTsurance Oval, Goodyear Park, Springbok Park",,Sponsor,20000,"Loch Logan End, Willows End",,"Orange Free State, Free State",,,,"12:47, Sat Nov 23, 2024",
ODI # 1960,https://www.espncricinfo.com/cricket-grounds/senwes-park-potchefstroom-59172, Potchefstroom,"North West Cricket Stadium
Sedgars Park, Potchefstroom",,,,"Senwes End, University End",Yes,"South Africa, North West",,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1958,https://www.espncricinfo.com/cricket-grounds/boland-park-paarl-59147, Paarl,Boland Bank Park,,,,"Nederburg End, Swart Land End",Yes,,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1959,https://www.espncricinfo.com/cricket-grounds/st-george-s-park-gqeberha-59159, Gqeberha,"Sahara Oval; Crusaders Ground, St George's Park",,,19000,"Duckpond End, Park Drive End",,Eastern Province,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1957,https://www.espncricinfo.com/cricket-grounds/harare-sports-club-59545, Harare,Salisbury Sports Club,,,"10,000","Prayag End, Cycle Pure End","Yes, Installed in 2011","Rhodesia, Zimbabwe",,,,"12:47, Sat Nov 23, 2024",
ODI # 1956,https://www.espncricinfo.com/cricket-grounds/willowmoore-park-benoni-59039, Benoni,,,,"20,000","Chalet End, Ekurhuleni End",,South Africa,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1953,https://www.espncricinfo.com/cricket-grounds/buffalo-park-east-london-59098, East London,,,,15000,"Buffalo Park Drive End, Bunkers Hill End",,Border,,,,"12:47, Sat Nov 23, 2024",
ODI # 1954,https://www.espncricinfo.com/cricket-grounds/diamond-oval-kimberley-59135, Kimberley,De Beers Country Club; Kimberley Country Club;De Beers Diamond Oval,,,,"North End, South End",,Griqualand West,,,,"12:47, Sat Nov 23, 2024",
ODI # 1955,https://www.espncricinfo.com/cricket-grounds/the-wanderers-stadium-johannesburg-59120, Johannesburg,Kent Park,,,"28,000","Corlett Drive End, Golf Course End",,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1952,https://www.espncricinfo.com/cricket-grounds/newlands-cape-town-59068, Cape Town,Sahara Park; Newlands; Western Province Cricket Club; Newlands 'A',,,"25,000","Wynberg End, Kelvin Grove End",,Western Province,,,,"12:47, Sat Nov 23, 2024",
ODI # 1951,https://www.espncricinfo.com/cricket-grounds/supersport-park-centurion-59079, Centurion,SuperSport Centurion; Centurion Park,,,"20,000","Pavilion End, Hennops River End",,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1950,https://www.espncricinfo.com/cricket-grounds/city-oval-pietermaritzburg-59151, Pietermaritzburg,Alexandra Park,,,,"Duzi End, Hulett End",Yes,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1949,https://www.espncricinfo.com/cricket-grounds/st-george-s-park-gqeberha-59159, Gqeberha,"Sahara Oval; Crusaders Ground, St George's Park",,,19000,"Duckpond End, Park Drive End",,Eastern Province,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1947,https://www.espncricinfo.com/cricket-grounds/senwes-park-potchefstroom-59172, Potchefstroom,"North West Cricket Stadium
Sedgars Park, Potchefstroom",,,,"Senwes End, University End",Yes,"South Africa, North West",,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1948,https://www.espncricinfo.com/cricket-grounds/boland-park-paarl-59147, Paarl,Boland Bank Park,,,,"Nederburg End, Swart Land End",Yes,,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1946,https://www.espncricinfo.com/cricket-grounds/kingsmead-durban-59089, Durban,Sahara Stadium; Kingsmead,,,25000,"Umgeni End, Old Fort End",,,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1945,https://www.espncricinfo.com/cricket-grounds/the-wanderers-stadium-johannesburg-59120, Johannesburg,Kent Park,,,"28,000","Corlett Drive End, Golf Course End",,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1944,https://www.espncricinfo.com/cricket-grounds/mangaung-oval-bloemfontein-59042, Bloemfontein,"Chevrolet Park, OUTsurance Oval, Goodyear Park, Springbok Park",,Sponsor,20000,"Loch Logan End, Willows End",,"Orange Free State, Free State",,,,"12:47, Sat Nov 23, 2024",
ODI # 1943,https://www.espncricinfo.com/cricket-grounds/harare-sports-club-59545, Harare,Salisbury Sports Club,,,"10,000","Prayag End, Cycle Pure End","Yes, Installed in 2011","Rhodesia, Zimbabwe",,,,"12:47, Sat Nov 23, 2024",
ODI # 1942,https://www.espncricinfo.com/cricket-grounds/newlands-cape-town-59068, Cape Town,Sahara Park; Newlands; Western Province Cricket Club; Newlands 'A',,,"25,000","Wynberg End, Kelvin Grove End",,Western Province,,,,"12:47, Sat Nov 23, 2024",
ODI # 2581,https://www.espncricinfo.com/cricket-grounds/kensington-oval-bridgetown-barbados-59429, Bridgetown,Pickwick Cricket Club,1871,,"28,000","Malcolm Marshall End, Joel Garner End","Yes, 2009",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2580,https://www.espncricinfo.com/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518, Gros Islet,Beausejour Stadium,2002,The nearby Beausejour hills,"12,400","Pavilion End, Media Centre End",Yes,West Indies,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2579,https://www.espncricinfo.com/cricket-grounds/sabina-park-kingston-jamaica-59458, Kingston,,,,"20,000","Blue Mountains End, Headley Stand End",Yes,,,Grass,,"05:47, Sat Nov 23, 2024",
ODI # 2578,https://www.espncricinfo.com/cricket-grounds/kensington-oval-bridgetown-barbados-59429, Bridgetown,Pickwick Cricket Club,1871,,"28,000","Malcolm Marshall End, Joel Garner End","Yes, 2009",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2577,https://www.espncricinfo.com/cricket-grounds/national-cricket-stadium-st-george-s-grenada-59490, St George's,Queen's Park (New),1999,,,"River End, Darbeau End",,,,,,"06:47, Sat Nov 23, 2024",
ODI # 2576,https://www.espncricinfo.com/cricket-grounds/kensington-oval-bridgetown-barbados-59429, Bridgetown,Pickwick Cricket Club,1871,,"28,000","Malcolm Marshall End, Joel Garner End","Yes, 2009",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2575,https://www.espncricinfo.com/cricket-grounds/national-cricket-stadium-st-george-s-grenada-59490, St George's,Queen's Park (New),1999,,,"River End, Darbeau End",,,,,,"06:47, Sat Nov 23, 2024",
ODI # 2574,https://www.espncricinfo.com/cricket-grounds/kensington-oval-bridgetown-barbados-59429, Bridgetown,Pickwick Cricket Club,1871,,"28,000","Malcolm Marshall End, Joel Garner End","Yes, 2009",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2573,https://www.espncricinfo.com/cricket-grounds/national-cricket-stadium-st-george-s-grenada-59490, St George's,Queen's Park (New),1999,,,"River End, Darbeau End",,,,,,"06:47, Sat Nov 23, 2024",
ODI # 2572,https://www.espncricinfo.com/cricket-grounds/kensington-oval-bridgetown-barbados-59429, Bridgetown,Pickwick Cricket Club,1871,,"28,000","Malcolm Marshall End, Joel Garner End","Yes, 2009",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2571,https://www.espncricinfo.com/cricket-grounds/national-cricket-stadium-st-george-s-grenada-59490, St George's,Queen's Park (New),1999,,,"River End, Darbeau End",,,,,,"06:47, Sat Nov 23, 2024",
ODI # 2570,https://www.espncricinfo.com/cricket-grounds/kensington-oval-bridgetown-barbados-59429, Bridgetown,Pickwick Cricket Club,1871,,"28,000","Malcolm Marshall End, Joel Garner End","Yes, 2009",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2569,https://www.espncricinfo.com/cricket-grounds/national-cricket-stadium-st-george-s-grenada-59490, St George's,Queen's Park (New),1999,,,"River End, Darbeau End",,,,,,"06:47, Sat Nov 23, 2024",
ODI # 2568,https://www.espncricinfo.com/cricket-grounds/kensington-oval-bridgetown-barbados-59429, Bridgetown,Pickwick Cricket Club,1871,,"28,000","Malcolm Marshall End, Joel Garner End","Yes, 2009",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2567,https://www.espncricinfo.com/cricket-grounds/national-cricket-stadium-st-george-s-grenada-59490, St George's,Queen's Park (New),1999,,,"River End, Darbeau End",,,,,,"06:47, Sat Nov 23, 2024",
ODI # 2566,https://www.espncricinfo.com/cricket-grounds/providence-stadium-guyana-208544, Providence,Guyana National Stadium,2006,,"15,000","Media Centre End, Pavillion End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2565,https://www.espncricinfo.com/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543, North Sound,,"Opened Feb 10, 2007",Sir Vivian Richards,"10,000","Andy Roberts End, Curtly Ambrose End","Four towers, first tested Nov 10, 2006",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2564,https://www.espncricinfo.com/cricket-grounds/providence-stadium-guyana-208544, Providence,Guyana National Stadium,2006,,"15,000","Media Centre End, Pavillion End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2563,https://www.espncricinfo.com/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543, North Sound,,"Opened Feb 10, 2007",Sir Vivian Richards,"10,000","Andy Roberts End, Curtly Ambrose End","Four towers, first tested Nov 10, 2006",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2562,https://www.espncricinfo.com/cricket-grounds/providence-stadium-guyana-208544, Providence,Guyana National Stadium,2006,,"15,000","Media Centre End, Pavillion End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2561,https://www.espncricinfo.com/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543, North Sound,,"Opened Feb 10, 2007",Sir Vivian Richards,"10,000","Andy Roberts End, Curtly Ambrose End","Four towers, first tested Nov 10, 2006",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2560,https://www.espncricinfo.com/cricket-grounds/providence-stadium-guyana-208544, Providence,Guyana National Stadium,2006,,"15,000","Media Centre End, Pavillion End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2559,https://www.espncricinfo.com/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543, North Sound,,"Opened Feb 10, 2007",Sir Vivian Richards,"10,000","Andy Roberts End, Curtly Ambrose End","Four towers, first tested Nov 10, 2006",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2558,https://www.espncricinfo.com/cricket-grounds/providence-stadium-guyana-208544, Providence,Guyana National Stadium,2006,,"15,000","Media Centre End, Pavillion End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2557,https://www.espncricinfo.com/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543, North Sound,,"Opened Feb 10, 2007",Sir Vivian Richards,"10,000","Andy Roberts End, Curtly Ambrose End","Four towers, first tested Nov 10, 2006",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2556,https://www.espncricinfo.com/cricket-grounds/providence-stadium-guyana-208544, Providence,Guyana National Stadium,2006,,"15,000","Media Centre End, Pavillion End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2555,https://www.espncricinfo.com/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543, North Sound,,"Opened Feb 10, 2007",Sir Vivian Richards,"10,000","Andy Roberts End, Curtly Ambrose End","Four towers, first tested Nov 10, 2006",,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2554,https://www.espncricinfo.com/cricket-grounds/queen-s-park-oval-port-of-spain-trinidad-59475, Port of Spain,St Clair Oval,,,"25,000","Brian Lara Pavilion End, Media Centre End","Yes, 2008",,,Grass since 1954,,"06:47, Sat Nov 23, 2024",
ODI # 2552,https://www.espncricinfo.com/cricket-grounds/warner-park-basseterre-st-kitts-59421, Basseterre,,2006,,"8,000","Pavillion End, Lozack Road End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2553,https://www.espncricinfo.com/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518, Gros Islet,Beausejour Stadium,2002,The nearby Beausejour hills,"12,400","Pavilion End, Media Centre End",Yes,West Indies,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2551,https://www.espncricinfo.com/cricket-grounds/sabina-park-kingston-jamaica-59458, Kingston,,,,"20,000","Blue Mountains End, Headley Stand End",Yes,,,Grass,,"05:47, Sat Nov 23, 2024",
ODI # 2550,https://www.espncricinfo.com/cricket-grounds/queen-s-park-oval-port-of-spain-trinidad-59475, Port of Spain,St Clair Oval,,,"25,000","Brian Lara Pavilion End, Media Centre End","Yes, 2008",,,Grass since 1954,,"06:47, Sat Nov 23, 2024",
ODI # 2548,https://www.espncricinfo.com/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518, Gros Islet,Beausejour Stadium,2002,The nearby Beausejour hills,"12,400","Pavilion End, Media Centre End",Yes,West Indies,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2549,https://www.espncricinfo.com/cricket-grounds/warner-park-basseterre-st-kitts-59421, Basseterre,,2006,,"8,000","Pavillion End, Lozack Road End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2547,https://www.espncricinfo.com/cricket-grounds/sabina-park-kingston-jamaica-59458, Kingston,,,,"20,000","Blue Mountains End, Headley Stand End",Yes,,,Grass,,"05:47, Sat Nov 23, 2024",
ODI # 2546,https://www.espncricinfo.com/cricket-grounds/queen-s-park-oval-port-of-spain-trinidad-59475, Port of Spain,St Clair Oval,,,"25,000","Brian Lara Pavilion End, Media Centre End","Yes, 2008",,,Grass since 1954,,"06:47, Sat Nov 23, 2024",
ODI # 2544,https://www.espncricinfo.com/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518, Gros Islet,Beausejour Stadium,2002,The nearby Beausejour hills,"12,400","Pavilion End, Media Centre End",Yes,West Indies,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2545,https://www.espncricinfo.com/cricket-grounds/warner-park-basseterre-st-kitts-59421, Basseterre,,2006,,"8,000","Pavillion End, Lozack Road End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2543,https://www.espncricinfo.com/cricket-grounds/sabina-park-kingston-jamaica-59458, Kingston,,,,"20,000","Blue Mountains End, Headley Stand End",Yes,,,Grass,,"05:47, Sat Nov 23, 2024",
ODI # 2542,https://www.espncricinfo.com/cricket-grounds/queen-s-park-oval-port-of-spain-trinidad-59475, Port of Spain,St Clair Oval,,,"25,000","Brian Lara Pavilion End, Media Centre End","Yes, 2008",,,Grass since 1954,,"06:47, Sat Nov 23, 2024",
ODI # 2540,https://www.espncricinfo.com/cricket-grounds/warner-park-basseterre-st-kitts-59421, Basseterre,,2006,,"8,000","Pavillion End, Lozack Road End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2541,https://www.espncricinfo.com/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518, Gros Islet,Beausejour Stadium,2002,The nearby Beausejour hills,"12,400","Pavilion End, Media Centre End",Yes,West Indies,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2539,https://www.espncricinfo.com/cricket-grounds/sabina-park-kingston-jamaica-59458, Kingston,,,,"20,000","Blue Mountains End, Headley Stand End",Yes,,,Grass,,"05:47, Sat Nov 23, 2024",
ODI # 2538,https://www.espncricinfo.com/cricket-grounds/queen-s-park-oval-port-of-spain-trinidad-59475, Port of Spain,St Clair Oval,,,"25,000","Brian Lara Pavilion End, Media Centre End","Yes, 2008",,,Grass since 1954,,"06:47, Sat Nov 23, 2024",
ODI # 2536,https://www.espncricinfo.com/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518, Gros Islet,Beausejour Stadium,2002,The nearby Beausejour hills,"12,400","Pavilion End, Media Centre End",Yes,West Indies,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2537,https://www.espncricinfo.com/cricket-grounds/warner-park-basseterre-st-kitts-59421, Basseterre,,2006,,"8,000","Pavillion End, Lozack Road End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2535,https://www.espncricinfo.com/cricket-grounds/sabina-park-kingston-jamaica-59458, Kingston,,,,"20,000","Blue Mountains End, Headley Stand End",Yes,,,Grass,,"05:47, Sat Nov 23, 2024",
ODI # 2534,https://www.espncricinfo.com/cricket-grounds/queen-s-park-oval-port-of-spain-trinidad-59475, Port of Spain,St Clair Oval,,,"25,000","Brian Lara Pavilion End, Media Centre End","Yes, 2008",,,Grass since 1954,,"06:47, Sat Nov 23, 2024",
ODI # 2532,https://www.espncricinfo.com/cricket-grounds/warner-park-basseterre-st-kitts-59421, Basseterre,,2006,,"8,000","Pavillion End, Lozack Road End",Yes,,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2533,https://www.espncricinfo.com/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518, Gros Islet,Beausejour Stadium,2002,The nearby Beausejour hills,"12,400","Pavilion End, Media Centre End",Yes,West Indies,,Grass,,"06:47, Sat Nov 23, 2024",
ODI # 2531,https://www.espncricinfo.com/cricket-grounds/sabina-park-kingston-jamaica-59458, Kingston,,,,"20,000","Blue Mountains End, Headley Stand End",Yes,,,Grass,,"05:47, Sat Nov 23, 2024",
ODI # 3148,https://www.espncricinfo.com/cricket-grounds/wankhede-stadium-mumbai-58324, Mumbai,,1974,,"32,000","Garware Pavilion End, Tata End",Yes,Mumbai,,Grass,,"16:15, Sat Nov 23, 2024",
ODI # 3147,https://www.espncricinfo.com/cricket-grounds/i-s-bindra-punjab-cricket-association-stadium-57991,"Mohali,  Mohali","Punjab C.A. Stadium, Mohali",1993,,,"Pavilion End, City End",Yes,Punjab,,Grass,Daljit Singh,"16:16, Sat Nov 23, 2024",
ODI # 3146,https://www.espncricinfo.com/cricket-grounds/r-premadasa-stadium-khettarama-colombo-59306,"Khettarama,  Colombo",Khettarama Stadium (until June 1994),1986,Former Sri Lanka president Ranasinghe Premadasa,"35,000","Khettarama End, Maligawatte End",Yes,Sri Lanka,,Grass,,"16:17, Sat Nov 23, 2024",
ODI # 3145,https://www.espncricinfo.com/cricket-grounds/r-premadasa-stadium-khettarama-colombo-59306,"Khettarama,  Colombo",Khettarama Stadium (until June 1994),1986,Former Sri Lanka president Ranasinghe Premadasa,"35,000","Khettarama End, Maligawatte End",Yes,Sri Lanka,,Grass,,"16:17, Sat Nov 23, 2024",
ODI # 3144,https://www.espncricinfo.com/cricket-grounds/shere-bangla-national-stadium-mirpur-dhaka-236761,"Mirpur,  Dhaka",,2006,AK Fazlul Haque,"25,000","Ispahani End, Aqua Paints End",Yes,,Football,Grass,,"16:47, Sat Nov 23, 2024",
ODI # 3143,https://www.espncricinfo.com/cricket-grounds/narendra-modi-stadium-motera-ahmedabad-57851,"Motera,  Ahmedabad","Gujarat Stadium, Sardar Patel Stadium",1982,,"132,000","Adani Pavilion End, Jio End",Yes,Gujarat,,,Bagira Thakur,"16:15, Sat Nov 23, 2024",
ODI # 3142,https://www.espncricinfo.com/cricket-grounds/shere-bangla-national-stadium-mirpur-dhaka-236761,"Mirpur,  Dhaka",,2006,AK Fazlul Haque,"25,000","Ispahani End, Aqua Paints End",Yes,,Football,Grass,,"16:47, Sat Nov 23, 2024",
ODI # 3141,https://www.espncricinfo.com/cricket-grounds/ma-chidambaram-stadium-chepauk-chennai-58008,"Chepauk,  Chennai",Chepauk; Madras Cricket Club Ground,,"The President of BCCI, and also the President of the TNCA","38,000","Anna Pavilion End, V Pattabhiraman Gate End",Since the 1996 World Cup,Tamil Nadu,,Grass,,"16:16, Sat Nov 23, 2024",
ODI # 3140,https://www.espncricinfo.com/cricket-grounds/eden-gardens-kolkata-57980, Kolkata,,1864,,"66,000","High Court End, Pavilion End",Yes,,,Grass,Probir Mukherjee,"16:15, Sat Nov 23, 2024",
ODI # 3139,https://www.espncricinfo.com/cricket-grounds/r-premadasa-stadium-khettarama-colombo-59306,"Khettarama,  Colombo",Khettarama Stadium (until June 1994),1986,Former Sri Lanka president Ranasinghe Premadasa,"35,000","Khettarama End, Maligawatte End",Yes,Sri Lanka,,Grass,,"16:17, Sat Nov 23, 2024",
ODI # 3138,https://www.espncricinfo.com/cricket-grounds/shere-bangla-national-stadium-mirpur-dhaka-236761,"Mirpur,  Dhaka",,2006,AK Fazlul Haque,"25,000","Ispahani End, Aqua Paints End",Yes,,Football,Grass,,"16:47, Sat Nov 23, 2024",
ODI # 3137,https://www.espncricinfo.com/cricket-grounds/wankhede-stadium-mumbai-58324, Mumbai,,1974,,"32,000","Garware Pavilion End, Tata End",Yes,Mumbai,,Grass,,"16:15, Sat Nov 23, 2024",
ODI # 3136,https://www.espncricinfo.com/cricket-grounds/eden-gardens-kolkata-57980, Kolkata,,1864,,"66,000","High Court End, Pavilion End",Yes,,,Grass,Probir Mukherjee,"16:15, Sat Nov 23, 2024",
